UNIPROT	REF_SEQ Protein
Q1LWU4	XP_692462
Q1LXF1	XP_695219
Q1LXK4	NP_001037807
Q1LXK5	NP_001037805
Q1LXL0	NP_956261
Q1LXL0	NP_956261
Q1LXL0	NP_956261
Q1LXS6	NP_001038630
Q1LXT2	NP_001038626
Q1LXV9	XP_696694
Q1LY37	NP_001038488
Q1LY46	NP_001038673
Q1LY76	NP_001038604
Q1LY77	NP_001038599
Q1LY78	XP_696319
Q1LY80	NP_001038695
Q1LY81	XP_695766
Q1LYA7	XP_688676
Q1LYC2	NP_001038250
Q1LYC5	NP_001017539
Q1LYC7	NP_001038254
Q1LYD1	NP_001070739
Q1LYF4	XP_693834
Q1LYF7	XP_688173
Q1LYI6	NP_001038596
Q1LYI9	XP_684615
Q1LYJ1	XP_707450
Q1LYL6	XP_689140
Q1LYP9	NP_001038249
Q1LYQ0	XP_695454
Q1LYQ1	NP_001038247
Q1MSY1	NP_001070640
Q1MSY2	XP_695378
Q1MSY6	XP_698475
Q1MT27	NP_001038292
Q1MTB6	XP_694042
Q1MTD0	NP_001038467
Q1MTD7	XP_697202
Q1MTD7	XP_697202
Q1MTH6	NP_001038603
Q1MTI7	XP_683033
Q1PLL0	NP_001035278
Q1PSH4	NP_001035775
Q1RLN9	NP_001035265
Q1RLP0	NP_001035435
Q1RLP1	NP_001035436
Q1RLP3	NP_001035437
Q1RLP4	NP_001035438
Q1RLP4	NP_001035438
Q1RLP6	NP_001035439
Q1RLP7	NP_001035440
Q1RLP8	NP_001035441
Q1RLP9	NP_001035442
Q1RLQ2	NP_001070042
Q1RLQ4	NP_001035480
Q1RLQ5	NP_001035444
Q1RLQ8	NP_001035445
Q1RLR2	NP_001035447
Q1RLR3	NP_001035449
Q1RLR5	NP_001035481
Q1RLR8	NP_001035450
Q1RLS0	NP_001035336
Q1RLS1	NP_001035468
Q1RLS3	NP_001035337
Q1RLS5	NP_001035338
Q1RLS7	XP_690506
Q1RLS8	NP_001035340
Q1RLS8	NP_001035340
Q1RLS9	NP_001035341
Q1RLT0	NP_001035469
Q1RLT0	NP_001035469
Q1RLT1	NP_001035394
Q1RLT2	XP_691968
Q1RLT2	XP_691968
Q1RLT4	NP_001035390
Q1RLT5	NP_001035391
Q1RLT6	NP_001035392
Q1RLT7	NP_001035455
Q1RLT8	NP_001035473
Q1RLT9	NP_001035456
Q1RLT9	NP_001035456
Q1RLU1	NP_001035395
Q1RLU2	NP_001035397
Q1RLU3	NP_001035332
Q1RLU3	NP_001035332
Q1RLU5	NP_001035333
Q1RLU6	NP_001035334
Q1RLU7	NP_001035335
Q1RLU8	NP_001035426
Q1RLU9	NP_001035398
Q1RLV0	NP_001035483
Q1RLV2	NP_001035400
Q1RLV6	NP_001035413
Q1RLV7	NP_001035414
Q1RLW0	NP_001035415
Q1RLW0	NP_001035415
Q1RLW1	NP_001035402
Q1RLW2	NP_001035457
Q1RLW4	NP_001035404
Q1RLW5	NP_001035406
Q1RLW6	NP_001035458
Q1RLW8	NP_001035403
Q1RLX1	XP_687276
Q1RLX7	NP_001035399
Q1RLX8	NP_001035417
Q1RLY0	NP_001035434
Q1RLY4	NP_001035460
Q1RLY5	NP_001035418
Q1RLY6	NP_001035396
Q1RLY7	NP_001035401
Q1RLY8	NP_001035405
Q1RLY9	NP_001035416
Q1RLZ3	NP_001035475
Q1RLZ5	NP_001035420
Q1RM01	NP_001035474
Q1RM03	NP_001035433
Q1RM07	NP_001035461
Q1RM11	NP_001035387
Q1RM16	NP_001035411
Q1RM18	NP_001035459
Q1RM20	NP_001035476
Q1RM35	NP_001035412
Q1RM42	NP_001035484
Q1RM43	NP_001035331
Q1RM47	NP_001035430
Q1RM48	NP_001035383
Q1RM52	NP_001035462
Q1RM53	NP_001035431
Q1RM56	NP_001035419
Q1RM60	NP_001030163
Q1RM61	NP_001035386
Q1RM63	NP_001035384
Q1RM65	NP_001035344
Q1RM66	NP_001035453
Q1RM69	NP_001035381
Q1RM72	XP_694115
Q1RM73	NP_001035410
Q1RM74	NP_001035343
Q1RM77	NP_001035382
Q1RM81	NP_001035427
Q1RM84	NP_001035452
Q1RM90	NP_001035407
Q1RM92	NP_001035421
Q1RM93	NP_001035482
Q1RM95	XP_689157
Q1RM99	NP_001035385
Q1RMA0	NP_001035471
Q1RMA2	NP_001035423
Q1RMA5	NP_001035424
Q1RMB1	NP_001035429
Q1RMB1	NP_001035429
Q1RMB3	NP_001035393
Q1RMB5	NP_001035409
Q1RMB6	NP_001035342
Q1RMB8	NP_001035478
Q1RMB9	NP_001035472
Q1RMC0	NP_001035428
Q1W1Y1	NP_001038687
Q1W1Y3	NP_001038631
Q1WCN6	NP_001035185
Q1WCN6	NP_001035185
Q1WGB5	NP_001035061
Q1WGB5	NP_001035061
Q1WL64	NP_001035099
Q1X870	NP_001038699
Q1X871	NP_001035724
Q1X872	NP_001035727
Q1X873	NP_001035726
Q1X874	NP_001035725
Q1XD15	NP_001035496
Q1XG75	NP_001039323
Q1XHK0	NP_001018547
Q1XHL7	NP_001038511
Q203V7	NP_001070916
Q208T6	NP_001035268
Q20CG4	NP_001038376
Q20JQ3	NP_001038648
Q20JQ4	NP_001038588
Q20JQ5	NP_001038387
Q20JQ7	NP_001038530
Q20JQ9	NP_956426
Q24JU9	NP_001035136
Q24JV0	NP_001035140
Q24JV1	NP_001035132
Q24JV1	NP_001035132
Q24JV2	NP_001035137
Q24JV3	NP_001035141
Q24JV6	NP_001035134
Q24JV9	NP_001035130
Q24JW5	NP_001035135
Q24JW8	NP_001035138
Q24JW8	NP_001035138
Q24JX1	NP_001035131
Q24K30	NP_001035129
Q24K31	NP_001038207
Q256Z7	NP_001038690
Q285P3	NP_001034897
Q288P2	NP_001034896
Q288P3	NP_001034906
Q29R87	NP_001034911
Q29R89	NP_001034923
Q29R92	NP_001035069
Q29R93	NP_001035010
Q29R93	NP_001035010
Q29R95	NP_001034928
Q29R96	NP_001034908
Q29R99	NP_001035082
Q29RA0	NP_001034900
Q29RA1	NP_001035012
Q29RA2	NP_001035017
Q29RA3	NP_001034926
Q29RA5	NP_001034925
Q29RA6	NP_001035011
Q29RA7	NP_001035013
Q29RA8	NP_001035020
Q29RA9	NP_001034922
Q29RB0	NP_001035070
Q29RB1	NP_001034912
Q29RB2	NP_001035016
Q29RB3	NP_001035019
Q29RB5	NP_001035015
Q29RB6	NP_001035071
Q29RB7	NP_001035072
Q29RB8	NP_001034898
Q29RB9	NP_001038556
Q29RC0	NP_001035018
Q29RC1	NP_001035086
Q29RC2	NP_001035014
Q29RC5	NP_001034907
Q29RC8	NP_001035084
Q29RE1	NP_001034808
Q29RE3	NP_001003826
Q29RE8	NP_001034927
Q29RF3	NP_001034924
Q29ST4	NP_001034902
Q29ST4	NP_001034902
Q29ST5	NP_001035125
Q29ST6	NP_001034904
Q29ST6	NP_001034904
Q29YB3	NP_001034918
Q2A943	NP_001017556
Q2ABP0	NP_001034901
Q2ABP1	NP_001035126
Q2EGT7	NP_001034921
Q2EI20	NP_001034909
Q2EJT3	NP_001034895
Q2EY13	XP_701028
Q2EY14	NP_001038495
Q2F800	NP_001034917
Q2HPF8	NP_001034731
Q2HPG0	NP_001034768
Q2HPG0	NP_001034768
Q2HPG1	NP_001034730
Q2HPG2	NP_955921
Q2HX26	NP_001034916
Q2HXK8	NP_001035497
Q2I010	NP_001032466
Q2I6J0	NP_001038691
Q2I6J1	NP_001034893
Q2KNE0	NP_001034899
Q2KNE5	XP_700320
Q2KT54	NP_001005603
Q2KT54	NP_001005603
Q2L6K8	NP_001034602
Q2L6K9	NP_001034894
Q2L6L0	NP_001034915
Q2L6L1	NP_001034586
Q2LE08	NP_001034726
Q2LEK1	NP_001036210
Q2LGG1	NP_001001398
Q2LIW9	NP_001034721
Q2LJ24	NP_001034261
Q2M5E9	NP_001018569
Q2M5F1	NP_997838
Q2MDD7	NP_571218
Q2MHK7	NP_001018341
Q2MHK8	NP_001034919
Q2MHK9	NP_001034717
Q2MHL1	NP_001034920
Q2MHL2	NP_001034614
Q2MJQ9	NP_001034725
Q2MLR9	NP_001034722
Q2MV23	NP_956929
Q2N1D9	NP_001034718
Q2P9V5	XP_691866
Q2P9V6	XP_694970
Q2P9V7	NP_001038445
Q2PBM7	NP_001034719
Q2PMI2	NP_001034710
Q2PMI3	NP_001017860
Q2PMI4	NP_001034720
Q2PRB1	NP_001034727
Q2PRB3	NP_001034714
Q2PRB5	NP_001034713
Q2PRB6	NP_571814
Q2PRC0	NP_001034712
Q2PRC1	NP_571828
Q2PRC2	NP_571663
Q2PRC3	NP_571819
Q2PRD5	NP_001034711
Q2PRH2	NP_001034715
Q2PRH8	NP_001035388
Q2PRI6	NP_571816
Q2PRI9	NP_571205
Q2PRL8	NP_571245
Q2PS19	NP_001036790
Q2PW47	NP_001034151
Q2Q1W5	NP_001034260
Q2Q444	NP_001036237
Q2Q446	NP_001034155
Q2Q447	NP_001036240
Q2Q551	NP_001002652
Q2QAJ9	NP_001034153
Q2QCI8	NP_001034550
Q2QKJ8	NP_001034613
Q2QKJ9	NP_001034724
Q2QKK0	NP_001034549
Q2TBJ1	NP_001033587
Q2TBJ2	NP_001009907
Q2THW0	NP_001034729
Q2TJA6	NP_001036798
Q2TJF5	NP_001034154
Q2TL58	NP_957340
Q2TLY0	NP_956613
Q2TLY1	NP_956757
Q2TV63	NP_001070178
Q2V6H0	NP_998126
Q2VBQ8	NP_001036799
Q2VC82	XP_697376
Q2VF27	NP_001002310
Q2VF28	NP_001001725
Q2VJ87	NP_571886
Q2VRP7	NP_001032750
Q2VT44	NP_001032758
Q2VT45	NP_001032892
Q2VU43	NP_001007455
Q2VU44	NP_001070714
Q2VW43	NP_001034446
Q2VYD7	NP_955812
Q2WF53	NP_001003852
Q2WG78	NP_001034199
Q2WG79	NP_001034198
Q2WG80	NP_001034197
Q2XNF5	NP_001033098
Q2YDP7	NP_001032654
Q2YDP8	NP_001032655
Q2YDP9	NP_001032653
Q2YDQ0	NP_001032652
Q2YDQ1	NP_001032650
Q2YDQ2	NP_001032651
Q2YDQ3	NP_001032649
Q2YDQ4	NP_001032648
Q2YDQ5	XP_695044
Q2YDQ8	NP_001032646
Q2YDQ9	NP_001032659
Q2YDR0	NP_001032658
Q2YDR1	NP_001032667
Q2YDR2	NP_001032668
Q2YDR3	NP_001032657
Q2YDR5	NP_001032662
Q2YDR7	NP_001032660
Q2YDR8	NP_001068577
Q2YDS2	NP_001032664
Q2YDS4	NP_001032669
Q2YDS7	NP_001032656
Q2YDT0	NP_001032665
Q307I6	NP_001032785
Q31357	NP_571781
Q31358	NP_571552
Q31359	NP_001001893
Q31362	NP_571565
Q31625	NP_571769
Q31625	NP_571769
Q32LQ2	NP_001032303
Q32LQ4	NP_001012498
Q32LQ5	NP_001012244
Q32LQ6	NP_001032503
Q32LQ9	NP_001032759
Q32LR0	NP_001032469
Q32LR3	NP_001032493
Q32LR4	NP_001032511
Q32LR8	NP_001032447
Q32LR9	NP_001032756
Q32LS0	NP_001032462
Q32LS4	NP_001032497
Q32LS6	NP_001032774
Q32LS7	NP_001032509
Q32LS8	NP_001032454
Q32LS9	NP_001032451
Q32LT0	NP_001032787
Q32LT1	NP_001032515
Q32LT2	NP_001032496
Q32LT3	NP_001032512
Q32LT4	NP_001032494
Q32LT5	NP_001032495
Q32LT6	NP_001028917
Q32LT7	NP_001032464
Q32LT9	NP_001032448
Q32LU0	NP_001032783
Q32LU3	NP_001032456
Q32LU4	NP_001035068
Q32LU5	NP_001032516
Q32LU6	NP_001032499
Q32LU7	NP_001032449
Q32LU9	XP_691070
Q32LV0	NP_001032790
Q32LV7	NP_001002309
Q32LV8	NP_001032477
Q32LV9	NP_001032450
Q32LW1	NP_001032506
Q32LW2	NP_001032471
Q32LW4	NP_001032505
Q32LW6	NP_001032772
Q32LW7	NP_001032460
Q32LW9	NP_571700
Q32LX0	NP_001032475
Q32LX1	NP_001032513
Q32PK2	NP_001032458
Q32PK3	NP_001032786
Q32PK4	NP_690853
Q32PK6	NP_001035080
Q32PK7	NP_001032465
Q32PL2	NP_001012503
Q32PL3	NP_001007180
Q32PL3	NP_001007180
Q32PL7	NP_001032498
Q32PL8	NP_001032455
Q32PL9	NP_001032306
Q32PM0	NP_001032490
Q32PM1	NP_001032778
Q32PM2	NP_001032794
Q32PM3	NP_001032773
Q32PM4	NP_001032473
Q32PM5	XP_693681
Q32PM6	NP_001032777
Q32PM7	NP_001032491
Q32PM9	NP_001012638
Q32PN3	NP_001013315
Q32PN4	NP_001032481
Q32PN5	NP_001032307
Q32PN6	NP_991148
Q32PN8	NP_001035079
Q32PP0	NP_001012366
Q32PP1	NP_001032483
Q32PP4	NP_001032484
Q32PP5	NP_001032299
Q32PP9	NP_001032769
Q32PQ0	NP_001035083
Q32PQ5	NP_001009918
Q32PQ8	NP_001032504
Q32PQ9	NP_001032765
Q32PR4	NP_001032507
Q32PR5	NP_001012383
Q32PR6	NP_001032489
Q32PR7	NP_001032771
Q32PR9	NP_001032478
Q32PS1	NP_001032476
Q32PS2	NP_998116
Q32PS5	NP_001032461
Q32PS6	NP_001032500
Q32PT2	NP_001032480
Q32PT3	NP_001032501
Q32PT4	NP_999858
Q32PT6	NP_001032482
Q32PU2	NP_001019244
Q32PU4	NP_001032485
Q32PU7	NP_001032487
Q32PU8	NP_001032792
Q32PV1	XP_691365
Q32PV2	NP_001017741
Q32PV3	NP_001038802
Q32PV5	NP_001032770
Q32PV8	NP_001032474
Q32PW4	NP_001032508
Q32PW5	NP_001013287
Q32PW6	NP_001012253
Q32PW8	NP_001025238
Q32Q46	NP_001032488
Q32Q47	NP_001007207
Q32Q49	XP_689809
Q32Q51	NP_001032766
Q32SG7	NP_001034233
Q32SG8	NP_001032179
Q32SK8	NP_001032775
Q32SK9	NP_001032492
Q32WF4	NP_001032467
Q32Y53	XP_685869
Q32Y53	XP_685869
Q32Y53	XP_685869
Q32ZE7	NP_996942
Q330L3	NP_001032795
Q330P5	NP_001032763
Q38HW9	NP_001030338
Q38JL1	NP_001030340
Q38PL0	NP_001032180
Q3B727	NP_001032193
Q3B728	NP_001032200
Q3B728	NP_001032200
Q3B728	NP_001032200
Q3B733	NP_001012314
Q3B736	NP_001032316
Q3B738	NP_001032199
Q3B739	NP_001032198
Q3B740	XP_690922
Q3B741	NP_001032188
Q3B745	NP_001032780
Q3B746	NP_001030341
Q3B747	NP_001032192
Q3B750	NP_001032185
Q3B751	NP_932331
Q3B752	NP_001032187
Q3B7E0	NP_001032201
Q3B7E3	XP_703357
Q3B7E3	XP_703357
Q3B7E6	NP_001032782
Q3B7E7	NP_001032183
Q3B7F0	NP_001032479
Q3B7F2	NP_001037814
Q3B7F3	NP_001035085
Q3B7F5	NP_001035078
Q3B7F6	NP_001004514
Q3B7F8	NP_001032194
Q3B7G1	NP_001032459
Q3B7G2	NP_001032197
Q3B7G3	NP_001007134
Q3B7G6	NP_001035067
Q3B7G7	NP_001032761
Q3B7H1	NP_001032195
Q3B7P4	NP_001032189
Q3B7P6	NP_001032181
Q3B7P7	NP_001032190
Q3B7P9	NP_998809
Q3B7Q4	NP_001032767
Q3B7Q5	NP_001032784
Q3B7Q7	NP_001032191
Q3B7R0	NP_001032470
Q3B7R0	NP_001032470
Q3B7R1	NP_001032791
Q3B7R3	NP_001032310
Q3B7R4	NP_001030339
Q3B7R6	NP_001032781
Q3BD88	NP_001032182
Q3BDS6	NP_001032178
Q3BDV9	NP_001019621
Q3HSD3	NP_001030137
Q3HSD4	NP_001029357
Q3KR14	NP_001029350
Q3KR15	NP_660196
Q3KRP0	NP_001029358
Q3KVL6	NP_001032314
Q3L0W1	NP_998406
Q3L0W2	NP_991113
Q3L1G2	NP_001029191
Q3L1G3	NP_001032318
Q3L1G5	NP_001017631
Q3L1G6	NP_001032315
Q3LG55	NP_001032317
Q3LG57	NP_001032321
Q3LGD4	NP_001002533
Q3LHM2	NP_001032319
Q3LHM3	NP_001032320
Q3LSS0	NP_001028924
Q3LTM3	NP_001028893
Q3LTM4	NP_001032312
Q3MU73	NP_001032313
Q3MU74	NP_571318
Q3S2J2	NP_001030140
Q3S2N4	NP_001030160
Q3S343	NP_001029093
Q3S344	NP_001030153
Q3S5C7	NP_955952
Q3S5C8	NP_991207
Q3SCC6	NP_001034654
Q3T2L2	NP_001029092
Q3T2L3	NP_001030342
Q3Y6S4	NP_001030147
Q3YA99	NP_001030151
Q3YAA0	NP_001030159
Q3YAA1	NP_001030143
Q3YL68	NP_001038797
Q3YMK9	NP_001030155
Q3ZB90	NP_001029089
Q3ZB92	NP_001030148
Q3ZB93	NP_001030145
Q3ZB95	NP_001028282
Q3ZB96	NP_001028281
Q3ZFI6	NP_001029090
Q3ZM07	NP_001028757
Q3ZMG7	NP_001013285
Q3ZMH2	NP_001030156
Q402B1	NP_001027901
Q45FX8	NP_001028894
Q45FX8	NP_001028894
Q45FX9	NP_001002584
Q45H72	NP_001030158
Q45RG8	NP_001026843
Q45RH2	NP_001030162
Q45RH3	XP_692745
Q45VT5	NP_997979
Q498P1	NP_001028269
Q498P3	NP_001028764
Q498P3	NP_001028764
Q498P5	NP_001030139
Q498Q0	NP_001028276
Q498Q1	NP_001028766
Q498Q4	NP_001003648
Q498Q5	NP_001003734
Q498Q5	NP_001003734
Q498Q7	NP_001030150
Q498V7	NP_001028271
Q498W1	NP_001029356
Q498W2	NP_001028268
Q498W3	NP_001028763
Q498W4	NP_001028278
Q498W5	NP_001029091
Q498W6	NP_001028275
Q498W6	NP_001028275
Q498W7	NP_001029346
Q498W8	NP_001028273
Q498X0	NP_705929
Q498X1	NP_001035075
Q498X2	NP_001030142
Q498X3	NP_001028765
Q498X5	NP_001028767
Q498X7	NP_001003822
Q498Z6	NP_001028768
Q498Z8	NP_001029351
Q498Z9	NP_001028279
Q499A0	NP_001028280
Q499A1	NP_001026838
Q499A2	NP_001028270
Q499A3	NP_001028272
Q499A4	XP_697007
Q499A5	NP_001070202
Q499A6	NP_001028267
Q499A7	NP_997923
Q499A9	NP_001027007
Q499B0	NP_001026845
Q499B1	NP_001030154
Q499B2	NP_001028274
Q499B3	NP_001029348
Q499B4	NP_001030152
Q499B6	NP_001026846
Q499C1	NP_919373
Q499C3	NP_001035076
Q49BB0	NP_001030157
Q49GP4	NP_001030144
Q49GP5	NP_001038950
Q49HH8	NP_001027008
Q49HM8	NP_001028262
Q49HM9	NP_001027011
Q49HN0	NP_001017711
Q49HN1	NP_001029353
Q49IK6	XP_697205
Q49NY1	NP_998165
Q49S42	NP_958450
Q49TU3	NP_001030164
Q49U75	NP_001027010
Q4ACB2	NP_001027013
Q4ACB3	NP_001027012
Q4F876	NP_998514
Q4F8H3	NP_001002181
Q4F8H5	NP_001036185
Q4FAI8	NP_570982
Q4FE55	NP_001070917
Q4FE81	NP_001034615
Q4FIV6	NP_001025244
Q4FZZ7	NP_001026996
Q4FZZ8	NP_001028759
Q4FZZ9	NP_775350
Q4G000	NP_998521
Q4G099	NP_001019622
Q4G0A0	NP_001032797
Q4G0A3	NP_001002866
Q4G0B1	NP_001001593
Q4G0B5	NP_956822
Q4G283	NP_001025122
Q4G3H3	NP_001014366
Q4G3H4	NP_956611
Q4G5K8	NP_001025136
Q4G5T7	NP_001025130
Q4G5V0	NP_001035425
Q4G5V7	NP_001025138
Q4G5V9	NP_001004555
Q4H4B6	NP_001007176
Q4JDD5	NP_001014829
Q4JG04	NP_001025262
Q4JHL7	NP_955879
Q4JLT0	NP_001020711
Q4JNX5	NP_001025253
Q4JQI9	NP_001017848
Q4JQP7	NP_001025413
Q4KM09	NP_001025334
Q4KM10	NP_001025143
Q4KM11	NP_571832
Q4KM12	NP_998164
Q4KM13	NP_001025145
Q4KM14	NP_001025137
Q4KM17	NP_998339
Q4KM22	NP_001035443
Q4KM23	NP_001025345
Q4KMC6	NP_001025124
Q4KMC7	NP_001020470
Q4KMD0	NP_001025407
Q4KMD2	NP_001025132
Q4KMD3	NP_001025412
Q4KMD4	NP_001025330
Q4KMD7	NP_001025359
Q4KME0	NP_001025366
Q4KME1	NP_001025141
Q4KME3	NP_001025142
Q4KME6	NP_001025332
Q4KMF0	NP_991178
Q4KMF2	NP_997911
Q4KMF4	NP_001025447
Q4KMF7	NP_001003867
Q4KMH6	NP_001025434
Q4KMH7	NP_001025406
Q4KMH9	NP_001025144
Q4KMI1	NP_001020469
Q4KMI3	NP_001028762
Q4KMI6	NP_001025346
Q4KMI7	NP_999949
Q4KMI8	NP_001003890
Q4KMI9	NP_001020472
Q4KMJ1	NP_001025128
Q4KMJ1	NP_001025128
Q4KMJ2	NP_001035073
Q4KMJ5	NP_001025139
Q4KMJ6	NP_001025363
Q4KMJ7	NP_001018356
Q4KMJ8	NP_001025140
Q4KMJ9	NP_001025134
Q4KMK0	NP_001020473
Q4KMK1	NP_001035074
Q4KMK4	NP_571760
Q4KMK5	NP_001035064
Q4KMK8	NP_001035063
Q4KML1	NP_001028760
Q4L0V3	NP_001025146
Q4L1M5	NP_001020339
Q4L1M6	NP_001020338
Q4L216	NP_001038953
Q4LDH0	NP_001025118
Q4LES0	NP_001025401
Q4PLX3	NP_001025286
Q4PLX4	NP_001030165
Q4PS89	NP_001002598
Q4QRC7	NP_001020350
Q4QRC8	NP_001020351
Q4QRC9	NP_001020352
Q4QRD0	NP_001020353
Q4QRD2	NP_001020354
Q4QRD4	NP_001020355
Q4QRD6	NP_001020356
Q4QRD7	NP_001020345
Q4QRD9	NP_001020346
Q4QRE0	NP_001020348
Q4QRE3	NP_571413
Q4QRE8	NP_571953
Q4QRF0	NP_001020357
Q4QRF1	NP_001034972
Q4QRF3	NP_001020360
Q4QRF5	NP_001020342
Q4QRF8	NP_956180
Q4QRF9	NP_997846
Q4QRG0	NP_997795
Q4QRG3	NP_001001589
Q4QRG7	NP_001020337
Q4QRH3	XP_683647
Q4QRH4	NP_001020344
Q4QRH6	NP_001020335
Q4QRH7	NP_001020340
Q4QRH8	NP_001017661
Q4QRI0	NP_001001946
Q4QRJ7	NP_001020341
Q4QRK0	NP_001020336
Q4QRL6	NP_991182
Q4QRM2	NP_991133
Q4TTV4	NP_001019836
Q4U0E8	NP_001012375
Q4U0S1	NP_001019557
Q4U0S2	NP_001019619
Q4U0S6	NP_001019625
Q4U1I6	NP_571161
Q4U1T8	NP_001019620
Q4U2V3	NP_001019616
Q4V8Q4	NP_001026841
Q4V8Q5	NP_001025438
Q4V8Q7	NP_001025300
Q4V8Q8	NP_001025320
Q4V8R2	NP_001028922
Q4V8R3	NP_001028908
Q4V8R6	NP_001020684
Q4V8R7	NP_001028892
Q4V8S1	NP_001028909
Q4V8S2	NP_001025419
Q4V8S4	NP_001038761
Q4V8S6	NP_001028910
Q4V8S7	NP_001025385
Q4V8S8	NP_001025282
Q4V8S9	NP_001035077
Q4V8T4	NP_001025328
Q4V8T8	NP_001028901
Q4V8T9	NP_001025382
Q4V8U0	NP_001020657
Q4V8U3	NP_001025370
Q4V8U4	NP_001028902
Q4V8U5	NP_001025377
Q4V8U6	NP_001020646
Q4V8U7	NP_001028903
Q4V8V0	NP_001025418
Q4V8V1	NP_001025273
Q4V8V2	NP_001025274
Q4V8V3	NP_001020679
Q4V8V4	NP_001028904
Q4V8V5	NP_001025403
Q4V8V6	NP_001020649
Q4V8V7	NP_001028920
Q4V8V8	NP_001028926
Q4V8V9	NP_001025373
Q4V8W0	NP_001029355
Q4V8W1	NP_001020631
Q4V8W2	NP_001025431
Q4V8W3	NP_001025120
Q4V8W5	NP_001029352
Q4V8W6	NP_001025374
Q4V8W8	NP_001020641
Q4V8X1	NP_001025416
Q4V8X2	NP_001025297
Q4V8X5	NP_001020687
Q4V8X6	NP_001020670
Q4V8X7	NP_001028905
Q4V8X8	NP_001025408
Q4V8Y1	NP_001025272
Q4V8Y3	NP_001020643
Q4V8Y5	NP_001025423
Q4V8Y7	NP_001025384
Q4V8Y8	NP_001035066
Q4V8Y9	NP_001025364
Q4V8Z0	NP_001025343
Q4V8Z1	NP_001025275
Q4V8Z2	XP_686009
Q4V8Z3	NP_001028906
Q4V8Z4	NP_001028907
Q4V8Z6	NP_001020701
Q4V8Z9	NP_001025426
Q4V900	XP_685203
Q4V901	NP_001020699
Q4V902	NP_001025379
Q4V903	NP_001025298
Q4V904	NP_001025435
Q4V905	NP_001025368
Q4V908	NP_001020707
Q4V908	NP_001020707
Q4V909	NP_001020656
Q4V911	NP_001005590
Q4V914	NP_001020673
Q4V916	NP_001020642
Q4V917	NP_001025409
Q4V918	NP_001025358
Q4V919	NP_001025239
Q4V920	NP_001028900
Q4V921	NP_001020706
Q4V922	NP_001035065
Q4V923	NP_001007405
Q4V924	NP_001020647
Q4V925	NP_571654
Q4V937	NP_998625
Q4V939	NP_998707
Q4V944	NP_997897
Q4V946	NP_998277
Q4V948	NP_998630
Q4V948	NP_998630
Q4V950	NP_571780
Q4V951	NP_956725
Q4V953	NP_998012
Q4V956	NP_898894
Q4V958	NP_919392
Q4V960	NP_001028911
Q4V962	NP_998415
Q4V963	NP_001020648
Q4V965	NP_571285
Q4V967	NP_956812
Q4V969	NP_001030146
Q4V974	NP_991176
Q4V975	NP_991303
Q4V978	NP_001019983
Q4V981	NP_001028912
Q4V983	NP_001035124
Q4V986	NP_571165
Q4V992	NP_001025313
Q4V993	NP_001025442
Q4V994	NP_001002322
Q4V995	NP_001002436
Q4V999	NP_001002044
Q4V9A1	NP_001003492
Q4V9A2	NP_001025250
Q4V9A3	NP_001035081
Q4V9A4	NP_001003644
Q4V9A5	NP_001025248
Q4V9B4	NP_001004589
Q4V9B5	XP_696784
Q4V9B6	NP_001020729
Q4V9B6	NP_001020729
Q4V9B7	NP_001004631
Q4V9B8	NP_001020661
Q4V9B9	NP_001020627
Q4V9C0	NP_001004512
Q4V9C4	NP_001005996
Q4V9C6	NP_001025236
Q4V9C7	NP_001020094
Q4V9D6	NP_001025278
Q4V9D8	NP_001005931
Q4V9D9	XP_687916
Q4V9E0	NP_001025243
Q4V9E1	NP_001025411
Q4V9E4	NP_001020629
Q4V9E6	NP_001020690
Q4V9E7	NP_001025404
Q4V9E8	XP_696349
Q4V9E9	NP_001025427
Q4V9F2	NP_001028898
Q4V9F3	NP_001025265
Q4V9F4	NP_001029347
Q4V9F5	NP_001025237
Q4V9F6	NP_001025348
Q4V9F7	NP_001025341
Q4V9F8	NP_001025425
Q4V9F9	NP_001025397
Q4V9G0	NP_001008632
Q4V9G3	NP_001025405
Q4V9G4	NP_001025400
Q4V9G5	NP_001025235
Q4V9G6	NP_001028915
Q4V9H2	NP_001028925
Q4V9H3	NP_001028899
Q4V9H6	NP_001028923
Q4V9H8	NP_001025410
Q4V9H9	NP_001025267
Q4V9I1	NP_001025321
Q4V9I3	NP_001025439
Q4V9I5	NP_001028913
Q4V9I6	NP_001020685
Q4V9I8	NP_001017767
Q4V9I9	NP_001039027
Q4V9J0	NP_001028914
Q4V9J1	NP_001020704
Q4V9J6	NP_998156
Q4V9J8	NP_001025304
Q4V9K0	NP_001020638
Q4V9K3	NP_571699
Q4V9K5	NP_997903
Q4V9K7	NP_001002870
Q4V9K8	NP_001003411
Q4V9M7	NP_001014344
Q4V9M8	NP_001025245
Q4V9N1	NP_001020623
Q4V9N3	NP_001025263
Q4V9N4	NP_001025430
Q4V9N5	NP_001025316
Q4V9N7	NP_001025375
Q4V9N8	NP_001025271
Q4V9N9	NP_001020624
Q4V9P0	NP_001025314
Q4V9P1	NP_001025319
Q4V9P2	NP_001020633
Q4V9P3	NP_001025240
Q4V9P4	NP_001028919
Q4V9P5	NP_001020632
Q4V9P6	NP_001028916
Q4V9P7	NP_001004496
Q4V9P8	NP_001025296
Q4V9Q1	NP_001025251
Q4V9Q2	NP_001004289
